ua,tc,amt,amt_avg,cc,dwm,lzd
0xc9357ac3434bc524f4a9405e2086ab8e911490ab,101,0.51,0.00504950495049505,6 / 8 / 10,7 / 5 / 4,75
0x93b6e24976a2a3bbed11feb840b47727be914d0d,104,0.0,0.0,2 / 2 / 2,37 / 10 / 4,166
0x077da864af74d4a9a33cfb80095ec83088552946,107,0.29,0.0027102803738317757,6 / 8 / 9,7 / 6 / 4,76
0xb3d10ae56548ae09252fcf45d2fed8ea8b57dca4,107,0.47,0.004392523364485981,6 / 8 / 8,6 / 5 / 4,75
0xd471afbbaf92f4878398552bdb08f34da7015838,104,0.31,0.002980769230769231,6 / 12 / 14,25 / 20 / 11,307
0x7500f50af06341787382be611fd6ac715f4bc537,130,0.0,0.0,3 / 1 / 1,2 / 2 / 1,747
0x20fe10b966708b772e912458932a1206aa8d7e40,105,0.0,0.0,1 / 1 / 1,1 / 1 / 1,760
0x25df024637d4e56c1ae9563987bf3e92c9f534c0,129,0.0,0.0,4 / 4 / 1,28 / 12 / 3,366
0xcbe5a2411df144513a8e965f85e6abd2df7a0da3,102,0.5,0.004901960784313725,6 / 7 / 10,6 / 6 / 5,128
0xfb67a6a59609662330171f63142c7259f241f346,553,0.0,0.0,2 / 2 / 2,3 / 3 / 3,660
0xfc8aa7f89d7e7e48bd87df797b1510a80d307b73,143,0.0,0.0,3 / 2 / 3,43 / 39 / 11,317
0xdb80515442eeb8eae28776bff857491397e5c08b,243,0.0,0.0,3 / 2 / 4,74 / 14 / 6,309
0x43f3f19f0a0915fa046284a4e02ba5db2013b15c,248,0.0,0.0,3 / 2 / 4,76 / 15 / 6,309
0xc345336ab9b421185262edf31d9f493e9c53575f,249,0.0,0.0,3 / 2 / 4,81 / 18 / 8,309
0xbf7a6655e20e4a5d3e62b8e4c7af3a5562a00983,420,0.0,0.0,1 / 2 / 2,37 / 9 / 4,143
0xedce98563c8a1b047bdfebd1e1831d210144aaf2,419,0.0,0.0,1 / 2 / 2,36 / 9 / 4,143
0x12ea6c8e462684634889d3d3f83af89c9c2af392,107,0.0,0.0,2 / 2 / 2,2 / 2 / 1,307
0x06c4526702984abdd71cdb0651f1001345a64bdf,149,0.0,0.0,7 / 10 / 4,8 / 3 / 1,420
0xbe56959e5a0f0ad22c31d641996978e5517bbb72,118,0.0,0.0,2 / 3 / 11,16 / 10 / 5,724
0x0bfcb9c067fc33d7ba36769aa305ab2df355e9fb,338,0.0,0.0,6 / 6 / 8,73 / 18 / 5,280
0x88ae1288fe9bad61508a32d34d7f67a1a623fef0,117,0.44,0.0037606837606837607,5 / 19 / 14,18 / 8 / 6,179
0x417b4adc279743fc49f047c323fc668db9e600d8,110,0.0,0.0,6 / 10 / 5,56 / 33 / 14,392
0x0db8d2c3e23ae0c6bdc9b3bfc9cf6e1e59306897,115,0.57,0.004956521739130434,7 / 23 / 21,21 / 18 / 11,294
0xa165fb8386217c22a3cf16657b0bd0ff677e3045,175,0.17,0.0009714285714285715,1 / 1 / 1,1 / 1 / 1,294
0x73a09d6e96cdb55d18096539308747aeccd205ef,557,0.0,0.0,2 / 2 / 191,11 / 6 / 5,593
0x5b0390bccca1f040d8993eb6e4ce8ded93721765,117,0.0,0.0,8 / 12 / 8,7 / 2 / 2,282
0xd16380aee31bb2760e824a8c728cd32ea941a8c7,101,0.13,0.0012871287128712872,3 / 7 / 6,16 / 5 / 3,93
0x240035d887b342a0909b99c6ecbee8c925eae552,191,0.0,0.0,1 / 3 / 7,21 / 5 / 3,38
0x09f5c34fd4a7c84e313be9cd2b9c922d8104004e,102,0.36,0.003529411764705882,6 / 15 / 13,25 / 19 / 9,307
0x62e3570bfd0128568244f6c36113cb6a7bcce4fb,238,0.0,0.0,3 / 2 / 4,71 / 12 / 5,309
0xd7f3c9ed698727ede217d94cb55073135adbfa43,114,0.34,0.0029824561403508773,7 / 25 / 20,20 / 17 / 10,296
0xa90d19d4c4545dd0dcd0d58ab15bcbfbd39dbaa9,112,0.14,0.00125,2 / 20 / 7,12 / 7 / 4,262
0x98ed3158974878c758a14fa9a3f31e672f526945,420,0.0,0.0,1 / 2 / 2,37 / 9 / 4,143
0xdc2640f503c283e59f3c45715ab83fd316041b23,420,0.0,0.0,1 / 2 / 2,37 / 9 / 4,143
0xee405ac3285003758238361567a002009e725d4f,126,0.02,0.00015873015873015873,4 / 15 / 6,16 / 15 / 12,340
